3.17.2-PTU 8121594,Outpost Index,Time Index,Waypoint Name,,Cartesian Coordinate (x y z) in km,,,"Rotation Quaternion (w,x,y,z)",,,,QTMarker,OM Radius,Body Radius,Arrival Radius,Time Lines,Rotation Speed,Rotation Adjust,Orbital Radius,Orbital Speed,Orbital Angle,Grid Radius,Adjustment Date,,,Body Selection
ArcCorp,,,Area 11 1x1b OC-024,,512.489,394.777,470.654,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1b OC-025,,519.090,384.464,471.959,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1b OC-035,,494.591,393.972,490.067,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 3x3a OC-001,,-310.290,-601.811,-425.980,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 2x2a OC-002,,-315.826,-598.429,-426.601,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 2x2a OC-004,,-310.335,-604.940,-421.498,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 2x2a OC-017,,-321.110,-602.967,-415.858,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1a OC-007,,-321.917,-599.881,-419.938,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1a OC-010,,-315.844,-600.329,-423.887,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1b OC-003,,-306.410,-601.329,-429.528,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1b OC-013,,-306.840,-605.727,-423.023,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1b OC-018,,-314.252,-602.253,-422.356,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1b OC-023,,-321.581,-601.475,-417.598,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1b OC-028,,-312.279,-606.226,-418.202,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 17 1x1b OC-041,,-311.865,-598.461,-429.377,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 3x3a OC-003,,-750.484,-97.152,-259.446,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 3x3a OC-004,,-746.575,-156.718,-240.967,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 3x3a OC-007,,-743.873,-121.642,-268.069,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 3x3b OC-001,,-751.530,-117.189,-247.964,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 3x3b OC-002,,-745.496,-95.376,-274.099,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 2x2a OC-003,,-745.226,-154.906,-246.257,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 2x2a OC-006,,-743.518,-139.611,-260.174,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 2x2a OC-011,,-743.184,-110.528,-274.703,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 2x2a OC-014,,-747.048,-127.795,-256.133,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 2x2a OC-021,,-750.925,-102.295,-256.220,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 2x2a OC-023,,-746.118,-122.149,-261.519,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1a OC-001,,-745.252,-104.381,-271.543,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1a OC-002,,-748.233,-126.877,-253.081,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1a OC-003,,-749.574,-111.299,-256.495,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1b OC-001,,-751.065,-112.070,-251.690,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1b OC-008,,-747.926,-152.155,-239.742,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1b OC-010,,-744.132,-100.197,-276.095,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1b OC-019,,-744.328,-126.644,-264.459,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1b OC-026,,-743.948,-113.258,-271.503,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1b OC-032,,-749.450,-105.953,-259.035,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 18 1x1b OC-039,,-748.223,-110.023,-260.875,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 3x3a OC-008,,506.937,401.104,-471.308,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 2x2a OC-010,,502.179,392.768,-483.270,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 2x2a OC-013,,512.126,406.640,-460.838,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 2x2a OC-016,,510.912,399.363,-468.513,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-004,,508.645,396.605,-473.271,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-005,,518.620,395.942,-462.886,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-006,,507.480,404.889,-467.502,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-015,,501.942,396.119,-480.776,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-028,,502.540,389.770,-485.386,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-030,,503.905,401.092,-474.558,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-033,,509.992,403.049,-466.367,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 20 1x1b OC-040,,509.141,408.952,-462.098,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ARC-L1 01,ARC-L1 01,ARC-L1 01,R&R ARC-L1 Wide Forest Station,R&R ARC-L1,85.394,-5041.260,2231.690,0.99197942,-0.04662409,-0.08103520,0.08506673,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #9WB-MTS,9WB-MTS,-4.481,-19.013,72.245,0.01070624,0.32504550,0.36534959,0.87221009,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #0K8-HE1,0K8-HE1,50.941,64.332,-53.978,-0.03257891,0.71755117,0.04142391,0.69450915,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #LH7-KP4,LH7-KP4,51.944,12.593,27.259,0.24782389,-0.51697940,-0.28151056,0.76945919,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #6G3-YNQ,6G3-YNQ,-43.098,65.344,40.679,0.18188648,0.86487842,-0.26171827,0.38782236,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #10E-4EX,10E-4EX,59.316,-55.546,-35.670,0.12878054,0.69473380,-0.14105405,0.69344378,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #95S-AN6,95S-AN6,-53.896,33.196,-67.265,0.59184074,0.04612465,0.56479889,0.57323575,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #X1A-79O,X1A-79O,17.063,-70.528,22.695,0.54583603,-0.51860756,0.56811535,-0.33219588,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,ARC-L1,Mining Claim #H20-5FY,H20-5FY,-64.873,-53.045,14.693,0.76965487,-0.11787625,-0.53323883,-0.33074602,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L1,ARC-L1,,Child Cloud S3 L1 01,CloudS3L1,14.494,11.481,2.815,-0.22466266,-0.12169050,0.80732954,0.53191835,FALSE,,,,,,,,,,,,,,
ARC-L1,ARC-L1 00,,Station,,,,,,,,,,,,,,,,,,,,,,,
ARC-L1,ARC-L1,,Mining Claims,,,,,,,,,,,,,,,,,,,,,,,
ARC-L2 01,ARC-L2 01,ARC-L2 01,R&R ARC-L2 Lively Pathway Station,,4287.404,-602.530,-301.922,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2 02,ARC-L2,,Reclaimer Hijack Spawn Point,ARCL2 Hijack,-397.004,-633.340,414.040,,,,,,,,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #29N-704,29N-704,4.868,77.526,42.366,0.66284621,0.41470483,-0.49395677,0.38034388,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #05D-PZR,05D-PZR,-4.204,-60.453,-68.162,-0.15543661,0.09971008,0.92911959,-0.32036561,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #9OE-85E,9OE-85E,-44.518,-47.988,6.708,0.18906325,-0.67025799,0.22427112,0.68169773,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #489-YQ1,489-YQ1,58.600,69.365,-25.654,0.38694474,0.78838891,-0.18611555,0.44054252,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #Z4O-0M1,Z4O-0M1,-63.837,52.295,-52.267,0.75481308,-0.03682747,0.55302155,-0.35081065,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #2FC-DQ3,2FC-DQ3,-65.296,32.755,62.906,0.10577173,0.74673146,0.17803170,0.63206738,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #19F-MUY,19F-MUY,65.275,-43.946,26.330,0.62212104,-0.65149730,0.41065881,0.14098236,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,ARC-L2,Mining Claim #FJ2-26X,FJ2-26X,37.647,17.818,76.631,-0.32679817,-0.59170574,-0.41074827,0.61186039,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L2,ARC-L2,,ChildCloud S3L2,CloudS3L2,-36.820,-15.819,7.595,0.72110993,0.03547104,-0.61813796,0.31088212,FALSE,,,,,,,,,,,,,,
ARC-L2,ARC-L2 00,,Station,,,,,,,,,,,,,,,,,,,,,,,
ARC-L2,ARC-L2,,Mining Claims,,,,,,,,,,,,,,,,,,,,,,,
ARC-L3 01,ARC-L3 01,,R&R ARC-L3 Modern Express Station,,-2078.603,4413.445,-1900.839,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L3,ARC-L3,,ChildCloud S3L3,CloudS3L3,-10.619,4.399,-33.825,-0.29007486,0.41200775,0.46217129,-0.72972864,FALSE,,,,,,,,,,,,,,
ARC-L3,ARC-L3 00,,Station,,,,,,,,,,,,,,,,,,,,,,,
ARC-L4 01,ARC-L4 01,,R&R ARC-L4 Faint Glen Station,,-2214.759,-2598.304,951.655,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L4,ARC-L4,,ChildCloud S3L4,CloudS3L4,126.535,-107.924,34.975,0.53498358,-0.48481992,-0.65691638,-0.21726269,FALSE,,,,,,,,,,,,,,
ARC-L4,ARC-L4 00,,Station,,,,,,,,,,,,,,,,,,,,,,,
ARC-L5 01,ARC-L5 01,,R&R ARC-L5 Yellow Core Station,,-5329.061,-1424.447,874.389,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ARC-L5,ARC-L5,,ChildCloud S3L5,CloudS3L5,-30.816,-4.706,25.506,0.61813784,-0.31088218,0.72111005,0.03547095,FALSE,,,,,,,,,,,,,,
ARC-L5,ARC-L5 00,,Station,,,,,,,,,,,,,,,,,,,,,,,
Arial R01,,,OM-1,OM1,0.000,0.000,501.541,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Arial R02,,,OM-2,OM2,0.000,0.000,-501.541,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Arial R03,,Arial 05,OM-3,OM3,0.000,501.541,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Arial R04,,Arial 12,OM-4,OM4,0.000,-501.541,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Arial R05,,Arial 07,OM-5,OM5,501.541,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Arial R06,,Arial 02,OM-6,OM6,-501.541,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Arial 03,Arial 16,Arial 04,Comm Array ST1-13,ST1-13,-78.760,505.628,24.000,0.70710677,0.00000000,0.00000002,-0.70710683,TRUE,0.000,0.000,,,,,,,,,,,,
Arial 01,Arial 01,Arial 10,HDMS Bezdek,Bezdek,26.735,-234.698,251.505,0.80514693,0.33760601,-0.14684762,0.46496919,TRUE,0.000,0.000,,,,,,,,,,,,
Arial 02,Arial 02,Arial 06,HDMS Lathan,Lathan,339.193,33.686,55.843,0.07204481,0.63532782,0.12460274,0.75871092,TRUE,0.000,0.000,,,,,,,,,,,,
Arial,,,Bezdek Platinum Bay Ground Spawn,,26.769,-234.602,251.593,0.23275180,0.13190965,-0.34353471,0.90022796,FALSE,0.000,0.000,,,,,,,,,,,,
Arial,,,Platinum Bay Ground Spawn,,339.192,33.572,55.900,0.12156422,0.62579924,0.16569515,0.75242448,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 04,Arial 05,Arial 01,Caterpillar A Wreck BEZ-319/237,Caterpillar A,-140.054,-74.604,306.556,0.69300270,-0.06701708,-0.22687490,0.68101668,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 05,Arial 06,Arial 08,Cutlass A Wreck BEZ-075/220,Cutlass A,216.540,-124.124,238.389,0.91751504,0.21715473,0.32786989,0.05925599,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 06,Arial 07,Arial 03,Freelancer D Wreck LAT-102/611,Freelancer D,-210.193,258.978,-89.443,-0.19342743,-0.27831686,0.74299961,0.57712835,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 07,Arial 08,Arial 09,Starfarer C Wreck BEZ-117/233,Starfarer C,223.891,-230.405,126.733,0.19641328,0.47670856,-0.29878169,0.80305684,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 08,Arial 09,Arial 11,Derelict Caterpillar Wreck BEZ-284/5,Derelict 1A,21.290,-234.274,252.404,1.00000000,0.00000000,0.00000000,0.00000000,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 09,Arial 12,,Bezdek Racetrack BEZ-186/10,BEZ Race,26.455,-242.616,244.112,0.92390233,0.38037375,0.04147665,0.00000001,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 10,Arial 13,,Lathan Racetrack LAT-260/13,LAT Race,340.664,20.664,53.420,0.75981551,-0.03936322,0.64894599,0.00000000,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 11,,,Orbital ShipGraveyard 1-1,OGY1-1,483.266,128.035,148.684,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 12,,,Orbital ShipGraveyard 1-2,OGY1-2,408.158,289.104,-69.090,0.83796620,0.06462494,0.38316855,-0.38316855,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 13,,,Orbital ShipGraveyard 1-3,OGY1-3,369.263,338.002,26.231,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 14,,,Orbital ShipGraveyard 1-4,OGY1-4,244.840,438.758,59.005,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 15,,,Orbital ShipGraveyard 1-5,OGY1-5,163.997,476.455,-22.027,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 16,,,Orbital ShipGraveyard 2-1,OGY2-1,-55.623,505.369,-96.565,0.69108546,0.71484363,-0.10676852,-0.00000002,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 17,,,Orbital ShipGraveyard 2-2,OGY2-2,-227.287,459.371,42.414,0.69108546,0.71484363,-0.10676852,-0.00000002,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 18,,,Orbital ShipGraveyard 2-3,OGY2-3,-379.127,351.065,-57.754,0.69108546,0.71484363,-0.10676852,-0.00000002,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 19,,,Orbital ShipGraveyard 2-4,OGY2-4,-497.702,153.723,-2.081,0.69108546,0.71484363,-0.10676852,-0.00000002,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 20,,,Orbital ShipGraveyard 2-5,OGY2-5,-516.448,-84.461,64.172,0.69108546,0.71484363,-0.10676852,-0.00000002,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 21,,,Orbital ShipGraveyard 3-1,OGY3-1,-430.203,-297.922,-50.986,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 22,,,Orbital ShipGraveyard 3-2,OGY3-2,-37.804,-515.433,102.436,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 23,,,Orbital ShipGraveyard 3-3,OGY3-3,147.109,-491.089,-20.691,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 24,,,Orbital ShipGraveyard 3-4,OGY3-4,408.158,-297.923,174.645,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial 25,,,Orbital ShipGraveyard 3-5,OGY3-5,498.755,-49.009,0.000,0.63822836,-0.54683483,0.54188216,-0.00000006,FALSE,0.000,0.000,,,,,,,,,,,,
Arial,Arial 00,,Trading Terminals,,,,,,,,,,,,,,,,,,,,,,,
Arial,Arial 04,,Wrecks,,,,,,,,,,,,,,,,,,,,,,,
Arial,Arial,,Orbital Graveyards,,,,,,,,,,,,,,,,,,,,,,,
Arial,Arial 15,,Comm Array,,,,,,,,,,,,,,,,,,,,,,,
Arial,Arial 11,,Scramble Racetracks,,,,,,,,,,,,,,,,,,,,,,,
Calliope R01,,,OM-1,OM1,0.000,0.000,352.246,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope R02,,,OM-2,OM2,0.000,0.000,-352.246,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope R03,,Calliope 06,OM-3,OM3,0.000,352.246,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope R04,,Calliope 26,OM-4,OM4,0.000,-352.246,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope R05,,Calliope 12,OM-5,OM5,352.246,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope R06,,Calliope 04,OM-6,OM6,-352.246,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 01,Calliope 29,Calliope 07,Comm Array ST4-31,ST4-31,189.547,354.905,24.000,0.92387950,0.00000000,0.00000000,0.38268343,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 02,Calliope 01,Calliope 01,Rayari Anvik Research Outpost,Anvik,-184.632,-127.794,84.724,0.79050040,0.44028479,-0.36005425,-0.22719890,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 03,Calliope 02,Calliope 10,Rayari Kaltag Research Outpost,Kaltag,205.267,6.261,-124.485,-0.21807608,0.79199153,-0.36322963,0.43960944,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 04,Calliope 03,Calliope 06,Shubin Mining Facility SMCa-6,SMCa6,50.066,233.437,24.936,0.73700362,-0.66696113,0.05677512,-0.09362181,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 05,Calliope 04,Calliope 09,Shubin Mining Facility SMCa-8,SMCa8,160.166,168.987,-58.400,0.51131475,-0.17419466,0.76896179,0.34192288,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 06,Calliope 08,Calliope 16,Shubin Processing Facility SPMC-1,SPMC1,231.078,-34.373,-55.893,-0.21721296,0.68670791,-0.38048831,0.58006847,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 07,Calliope 11,Calliope 02,Shubin Processing Facility SPMC-10,SPMC10,-222.726,-74.372,-49.719,0.06021747,0.75705755,0.17446017,-0.62673867,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 08,Calliope 12,Calliope 23,Shubin Processing Facility SPMC-11,SPMC11,72.393,-187.928,130.918,0.64636636,0.21113607,0.42767304,-0.59559035,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 09,Calliope 13,Calliope 15,Shubin Processing Facility SPMC-14,SPMC14,228.587,-21.222,71.196,0.77841818,-0.09764553,0.58511591,-0.20535293,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 10,Calliope 09,Calliope 14,Shubin Processing Facility SPMC-3,SPMC3,239.598,-11.458,8.683,0.47143728,0.54569489,0.42910284,0.54390693,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 11,Calliope 10,Calliope 04,Shubin Processing Facility SPMC-5,SPMC5,-229.991,66.814,19.274,0.57688558,0.25495917,-0.62840039,-0.45531505,TRUE,0.000,0.000,,,,,,,,,,,,
Calliope 12,Calliope 05,Calliope 24,Raven's Roost KAL-213/223,Roost,33.908,-106.400,-212.484,,,,,,,,,,,,,,,,,,,
Calliope,,,SMCa-6 Platinum Bay Ground Spawn,,50.082,233.446,24.825,0.09362052,0.05681010,0.66713095,0.73684740,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope,,,SMCa-8 Platinum Bay Ground Spawn,,160.095,169.043,-58.442,0.11961953,0.42049500,0.66701943,0.60329115,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 13,Calliope 16,Calliope 21,Calliope Cave N13 [F] SPMC14-263/89,Cave N13,207.343,-107.085,55.951,0.53093863,-0.21321400,0.58134609,-0.57851595,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 14,Calliope 17,Calliope 19,Calliope Cave N25 [F] SPMC14-329/40,Cave N25,213.196,-40.556,102.893,-0.05892103,0.51693785,-0.13627690,0.84304935,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 15,Calliope 18,Calliope 12,Calliope Cave N40 [F] SPMC14-008/99,Cave N40,181.300,-3.049,157.240,0.90751708,-0.02184995,0.41466719,-0.06313815,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 16,Calliope 21,Calliope 13,Caterpillar A Wreck SPMC14-024/32,Caterpillar A,218.632,-7.016,99.078,0.60451114,0.38879818,0.37754703,0.58383262,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 17,Calliope 22,Calliope 18,Caterpillar C Wreck SPMC14-217/32,Caterpillar C,232.099,-41.336,45.893,0.77171212,0.11150246,0.62612104,-0.00000916,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 18,Calliope 23,Calliope 20,Cutlass A Wreck SPMC3-283/36,Cutlass A,234.805,-46.699,16.919,0.73160642,0.13295387,0.66863692,-0.00003047,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 20,Calliope 25,Calliope 08,Starfarer B Wreck SMCa8-020/47,Starfarer B,152.525,184.796,-14.616,0.68245953,-0.51767778,0.51230097,0.06169631,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 19,Calliope 24,Calliope 17,Starfarer A Wreck SPMC14-166/32,Starfarer A,225.967,-35.194,73.738,-0.18337613,0.54596514,-0.22018914,0.78728139,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope 21,Calliope 26,Calliope 22,Derelict Caterpillar Wreck SPMC14-260/111,Derelict 4A,199.393,-126.188,45.985,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
Calliope,Calliope 31,,Reclaimer Hijack Spawn Point,Hijack 4A,-231.359,-168.295,75.512,,,,,,,,,,,,,,,,,,,
Calliope,Calliope 00,,Trading Terminals,,,,,,,,,,,,,,,,,,,,,,,
Calliope,Calliope 15,,Caves,,,,,,,,,,,,,,,,,,,,,,,
Calliope,Calliope 20,,Wrecks,,,,,,,,,,,,,,,,,,,,,,,
Calliope,,,Orbital Graveyards,,,,,,,,,,,,,,,,,,,,,,,
Calliope,,,Scramble Racetracks,,,,,,,,,,,,,,,,,,,,,,,
Calliope,,,Emergency Shelters,,,,,,,,,,,,,,,,,,,,,,,
Calliope,Calliope 07,,Underground Bunker Facilities,,,,,,,,,,,,,,,,,,,,,,,
Calliope,Calliope 28,,Comm Array,,,,,,,,,,,,,,,,,,,,,,,
Calliope,,,Correctional Facility,,,,,,,,,,,,,,,,,,,,,,,
Cellin R01,,,OM-1,OM1,0.000,0.000,380.530,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin R02,,,OM-2,OM2,0.000,0.000,-380.530,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin R03,,Cellin 10,OM-3,OM3,0.000,380.530,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin R04,,Cellin 26,OM-4,OM4,0.000,-380.530,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin R05,,Cellin 20,OM-5,OM5,380.530,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin R06,,Cellin 03,OM-6,OM6,-380.530,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin 01,Cellin 36,Cellin 13,Comm Array ST2-28,ST2-28,242.244,347.193,24.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin 02,Cellin 01,Cellin 09,Gallete Family Farms,Gallete,-89.471,106.717,220.041,0.13553116,-0.20717657,0.18596439,0.95085561,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin 03,Cellin 02,Cellin 12,Hickes Research Outpost,Hickes,3.270,13.091,-260.316,-0.02308591,0.97447199,0.22301121,0.01172017,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin 04,Cellin 03,Cellin 18,Terra Mills HydroFarm,TerraMills,100.137,27.701,239.024,0.77057582,0.07832056,0.18791662,0.60395873,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin 05,Cellin 04,Cellin 04,Tram & Myers Mining,TramMyers,-241.164,2.396,-98.700,0.34437585,0.64769161,-0.51949322,-0.43820959,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin 06,Cellin 14,Cellin 24,Security Post Kareah,Kareah,11.620,-419.839,200.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,,,,,,,,,,,,
Cellin 12,Cellin 18,Cellin 25,Ashburn Channel Aid Shelter,Ashburn,3.024,-257.942,-37.129,0.00386584,-0.00439777,0.75578672,-0.65479171,TRUE,0.000,0.000,,,,,,,,,,,,
